source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn.cpp.ModuleWrapper,torch.nn.Module,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,49,class ModuleWrapper(nn.Module):
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,60,"self._parameters = OrderedDictWrapper(cpp_module, ""_parameters"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,attribute_annotation,attribute_annotation,composition,attribute_type_composition,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,61,"self._buffers: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_buffers"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,61,"self._buffers: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_buffers"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,attribute_annotation,attribute_annotation,composition,attribute_type_composition,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,62,"self._modules: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_modules"")  # type: ignore[assignment]"
torch.nn.cpp.ModuleWrapper,torch.nn.cpp.OrderedDictWrapper,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/cpp.py,62,"self._modules: OrderedDictWrapper = OrderedDictWrapper(cpp_module, ""_modules"")  # type: ignore[assignment]"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,torch.nn.intrinsic.qat.modules.conv_fused._ConvBnNd,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,363,"class ConvBn1d(_ConvBnNd, nn.Conv1d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,torch.nn.Conv1d,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,363,"class ConvBn1d(_ConvBnNd, nn.Conv1d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,torch.nn.BatchNorm1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,380,_FLOAT_BN_MODULE = nn.BatchNorm1d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,torch.ao.nn.intrinsic.ConvBn1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,382,_FLOAT_MODULE = nni.ConvBn1d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,torch.nn.Conv1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,383,_FLOAT_CONV_MODULE = nn.Conv1d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn2d,torch.nn.intrinsic.qat.modules.conv_fused._ConvBnNd,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,495,"class ConvBn2d(_ConvBnNd, nn.Conv2d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn2d,torch.nn.Conv2d,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,495,"class ConvBn2d(_ConvBnNd, nn.Conv2d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn2d,torch.ao.nn.intrinsic.ConvBn2d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,512,_FLOAT_MODULE = nni.ConvBn2d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn2d,torch.nn.Conv2d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,513,_FLOAT_CONV_MODULE = nn.Conv2d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn2d,torch.nn.BatchNorm2d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,514,_FLOAT_BN_MODULE = nn.BatchNorm2d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn3d,torch.nn.intrinsic.qat.modules.conv_fused._ConvBnNd,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,627,"class ConvBn3d(_ConvBnNd, nn.Conv3d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn3d,torch.nn.Conv3d,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,627,"class ConvBn3d(_ConvBnNd, nn.Conv3d):"
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn3d,torch.ao.nn.intrinsic.ConvBn3d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,644,_FLOAT_MODULE = nni.ConvBn3d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn3d,torch.nn.Conv3d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,645,_FLOAT_CONV_MODULE = nn.Conv3d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBn3d,torch.nn.BatchNorm3d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,646,_FLOAT_BN_MODULE = nn.BatchNorm3d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.nn.intrinsic.qat.modules.conv_fused.ConvBn1d,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,407,class ConvBnReLU1d(ConvBn1d):
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.ao.nn.intrinsic.ConvBnReLU1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,424,_FLOAT_MODULE = nni.ConvBnReLU1d  # type: ignore[assignment]
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.nn.Conv1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,425,_FLOAT_CONV_MODULE = nn.Conv1d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.nn.BatchNorm1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,426,_FLOAT_BN_MODULE = nn.BatchNorm1d
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.nn.ReLU,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,427,_FLOAT_RELU_MODULE = nn.ReLU  # type: ignore[assignment]
torch.nn.intrinsic.qat.modules.conv_fused.ConvBnReLU1d,torch.ao.nn.intrinsic.ConvReLU1d,class_attribute_alias,class_attribute,configuration,class_alias_or_default,/home/ota/VM/pytorch/pytorch-1.13.1/lib/python3.8/site-packages/torch/nn/intrinsic/qat/modules/conv_fused.py,429,_FUSED_FLOAT_MODULE = nni.ConvReLU1d
