node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
MOD,type_alias,,MOD,.,-1,-1,True,external_placeholder
NamedShape,class,,NamedShape,.,-1,-1,True,external_placeholder
NamedTuple,class,,NamedTuple,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
T_destination,class,,T_destination,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
abc.ABC,constant_symbol,abc,ABC,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
collections.namedtuple,symbol,collections,namedtuple,.,-1,-1,True,external_placeholder
torch.Tensor,class,torch,Tensor,.,-1,-1,True,external_placeholder
torch.autograd.Function,class,torch.autograd,Function,.,-1,-1,True,external_placeholder
torch.autograd.function.Function,class,torch.autograd.function,Function,.,-1,-1,True,external_placeholder
torch.device,symbol,torch,device,.,-1,-1,True,external_placeholder
torch.dtype,symbol,torch,dtype,.,-1,-1,True,external_placeholder
torch.nn.BatchNorm2d,class,torch.nn,BatchNorm2d,.,-1,-1,True,external_placeholder
torch.nn.BatchNorm3d,class,torch.nn,BatchNorm3d,.,-1,-1,True,external_placeholder
torch.nn.Conv1d,class,torch.nn,Conv1d,.,-1,-1,True,external_placeholder
torch.nn.Conv2d,class,torch.nn,Conv2d,.,-1,-1,True,external_placeholder
torch.nn.Conv3d,class,torch.nn,Conv3d,.,-1,-1,True,external_placeholder
torch.nn.ConvTranspose1d,class,torch.nn,ConvTranspose1d,.,-1,-1,True,external_placeholder
torch.nn.ConvTranspose2d,class,torch.nn,ConvTranspose2d,.,-1,-1,True,external_placeholder
torch.nn.ConvTranspose3d,class,torch.nn,ConvTranspose3d,.,-1,-1,True,external_placeholder
torch.nn.ELU,constant_symbol,torch.nn,ELU,.,-1,-1,True,external_placeholder
torch.nn.GRU,constant_symbol,torch.nn,GRU,.,-1,-1,True,external_placeholder
torch.nn.GroupNorm,class,torch.nn,GroupNorm,.,-1,-1,True,external_placeholder
torch.nn.Hardswish,class,torch.nn,Hardswish,.,-1,-1,True,external_placeholder
torch.nn.Identity,class,torch.nn,Identity,.,-1,-1,True,external_placeholder
torch.nn.InstanceNorm1d,class,torch.nn,InstanceNorm1d,.,-1,-1,True,external_placeholder
torch.nn.InstanceNorm2d,class,torch.nn,InstanceNorm2d,.,-1,-1,True,external_placeholder
torch.nn.InstanceNorm3d,class,torch.nn,InstanceNorm3d,.,-1,-1,True,external_placeholder
torch.nn.LSTM,constant_symbol,torch.nn,LSTM,.,-1,-1,True,external_placeholder
torch.nn.LSTMCell,class,torch.nn,LSTMCell,.,-1,-1,True,external_placeholder
torch.nn.LayerNorm,class,torch.nn,LayerNorm,.,-1,-1,True,external_placeholder
torch.nn.LeakyReLU,class,torch.nn,LeakyReLU,.,-1,-1,True,external_placeholder
torch.nn.Linear,class,torch.nn,Linear,.,-1,-1,True,external_placeholder
torch.nn.Module,class,torch.nn,Module,.,-1,-1,True,external_placeholder
torch.nn.ModuleList,class,torch.nn,ModuleList,.,-1,-1,True,external_placeholder
torch.nn.RNNBase,class,torch.nn,RNNBase,.,-1,-1,True,external_placeholder
torch.nn.ReLU,class,torch.nn,ReLU,.,-1,-1,True,external_placeholder
torch.nn.Sequential,class,torch.nn,Sequential,.,-1,-1,True,external_placeholder
torch.nn.Sigmoid,class,torch.nn,Sigmoid,.,-1,-1,True,external_placeholder
torch.nn.SyncBatchNorm,class,torch.nn,SyncBatchNorm,.,-1,-1,True,external_placeholder
torch.nn.cpp.ModuleWrapper,class,torch.nn.cpp,ModuleWrapper,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,49,91,False,python_source
torch.nn.cpp.OrderedDictWrapper,class,torch.nn.cpp,OrderedDictWrapper,/home/ota/VM/pytorch/pytorch-1.8.0/lib/python3.6/site-packages/torch/nn/cpp.py,6,46,False,python_source
torch.nn.intrinsic.BNReLU2d,class,torch.nn.intrinsic,BNReLU2d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.BNReLU3d,class,torch.nn.intrinsic,BNReLU3d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvBn1d,class,torch.nn.intrinsic,ConvBn1d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvBn2d,class,torch.nn.intrinsic,ConvBn2d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvBnReLU1d,class,torch.nn.intrinsic,ConvBnReLU1d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvBnReLU2d,class,torch.nn.intrinsic,ConvBnReLU2d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvReLU1d,class,torch.nn.intrinsic,ConvReLU1d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvReLU2d,class,torch.nn.intrinsic,ConvReLU2d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.ConvReLU3d,class,torch.nn.intrinsic,ConvReLU3d,.,-1,-1,True,external_placeholder
torch.nn.intrinsic.LinearReLU,class,torch.nn.intrinsic,LinearReLU,.,-1,-1,True,external_placeholder
torch.nn.intrinsic._FusedModule,symbol,torch.nn.intrinsic,_FusedModule,.,-1,-1,True,external_placeholder
