source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
torch.nn._functions.dropout.Dropout,torch.autograd.function.InplaceFunction,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,7,class Dropout(InplaceFunction):
torch.nn._functions.dropout.Dropout,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,22,"raise ValueError(""dropout probability has to be between 0 and 1, """
torch.nn._functions.dropout.Dropout,torch.autograd.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,48,"return grad_output.mul(Variable(ctx.noise)), None, None, None"
torch.nn._functions.dropout.FeatureDropout,torch.nn._functions.dropout.Dropout,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,53,class FeatureDropout(Dropout):
torch.nn._functions.linear.Bilinear,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/linear.py,5,class Bilinear(Function):
torch.nn._functions.linear.Bilinear,torch.autograd.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/linear.py,31,buff = Variable(input1.data.new())
torch.nn._functions.linear.Bilinear,torch.autograd.Variable,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/linear.py,48,grad_weight = Variable(weight.data.new(weight.size()))
torch.nn._functions.loss.CosineEmbeddingLoss,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,6,class CosineEmbeddingLoss(Function):
torch.nn._functions.loss.HingeEmbeddingLoss,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,95,class HingeEmbeddingLoss(Function):
torch.nn._functions.loss.HingeEmbeddingLossBackward,torch.autograd.Function,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,123,class HingeEmbeddingLossBackward(Function):
