node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
CudnnRNN,class,,CudnnRNN,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
Queue.Queue,class,Queue,Queue,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
SparseTensor,class,,SparseTensor,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
threading.Event,class,threading,Event,.,-1,-1,True,external_placeholder
threading.Lock,class,threading,Lock,.,-1,-1,True,external_placeholder
threading.Thread,class,threading,Thread,.,-1,-1,True,external_placeholder
torch.IntTensor,class,torch,IntTensor,.,-1,-1,True,external_placeholder
torch.Size,class,torch,Size,.,-1,-1,True,external_placeholder
torch.Tensor,class,torch,Tensor,.,-1,-1,True,external_placeholder
torch.autograd.Function,class,torch.autograd,Function,.,-1,-1,True,external_placeholder
torch.autograd.NestedIOFunction,class,torch.autograd,NestedIOFunction,.,-1,-1,True,external_placeholder
torch.autograd.Variable,class,torch.autograd,Variable,.,-1,-1,True,external_placeholder
torch.autograd.function.Function,class,torch.autograd.function,Function,.,-1,-1,True,external_placeholder
torch.autograd.function.InplaceFunction,class,torch.autograd.function,InplaceFunction,.,-1,-1,True,external_placeholder
torch.autograd.variable.Variable,class,torch.autograd.variable,Variable,.,-1,-1,True,external_placeholder
torch.cuda.Event,class,torch.cuda,Event,.,-1,-1,True,external_placeholder
torch.cuda.LongTensor,class,torch.cuda,LongTensor,.,-1,-1,True,external_placeholder
torch.cuda.Stream,class,torch.cuda,Stream,.,-1,-1,True,external_placeholder
torch.nn._functions.dropout.Dropout,class,torch.nn._functions.dropout,Dropout,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,7,50,False,python_source
torch.nn._functions.dropout.FeatureDropout,class,torch.nn._functions.dropout,FeatureDropout,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/dropout.py,53,67,False,python_source
torch.nn._functions.linear.Bilinear,class,torch.nn._functions.linear,Bilinear,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/linear.py,5,58,False,python_source
torch.nn._functions.loss.CosineEmbeddingLoss,class,torch.nn._functions.loss,CosineEmbeddingLoss,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,6,92,False,python_source
torch.nn._functions.loss.HingeEmbeddingLoss,class,torch.nn._functions.loss,HingeEmbeddingLoss,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,95,120,False,python_source
torch.nn._functions.loss.HingeEmbeddingLossBackward,class,torch.nn._functions.loss,HingeEmbeddingLossBackward,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,123,151,False,python_source
torch.nn._functions.loss.MarginRankingLoss,class,torch.nn._functions.loss,MarginRankingLoss,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/loss.py,154,190,False,python_source
torch.nn._functions.padding.ConstantPadNd,class,torch.nn._functions.padding,ConstantPadNd,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/padding.py,5,75,False,python_source
torch.nn._functions.rnn.CudnnRNN,class,torch.nn._functions.rnn,CudnnRNN,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/rnn.py,255,343,False,python_source
torch.nn._functions.thnn.activation.PReLU,class,torch.nn._functions.thnn.activation,PReLU,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/activation.py,9,35,False,python_source
torch.nn._functions.thnn.activation.PReLUBackward,class,torch.nn._functions.thnn.activation,PReLUBackward,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/activation.py,38,110,False,python_source
torch.nn._functions.thnn.activation.RReLU,class,torch.nn._functions.thnn.activation,RReLU,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/activation.py,113,146,False,python_source
torch.nn._functions.thnn.activation.RReLUBackward,class,torch.nn._functions.thnn.activation,RReLUBackward,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/activation.py,149,184,False,python_source
torch.nn._functions.thnn.activation.SELU,class,torch.nn._functions.thnn.activation,SELU,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/activation.py,187,229,False,python_source
torch.nn._functions.thnn.auto._BCELoss,symbol,torch.nn._functions.thnn.auto,_BCELoss,.,-1,-1,True,external_placeholder
torch.nn._functions.thnn.loss.BCELoss,class,torch.nn._functions.thnn.loss,BCELoss,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/loss.py,22,42,False,python_source
torch.nn._functions.thnn.normalization.CrossMapLRN2d,class,torch.nn._functions.thnn.normalization,CrossMapLRN2d,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/normalization.py,8,135,False,python_source
torch.nn._functions.thnn.pooling.AdaptiveAvgPool1d,class,torch.nn._functions.thnn.pooling,AdaptiveAvgPool1d,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/pooling.py,554,577,False,python_source
torch.nn._functions.thnn.pooling.AdaptiveAvgPool1dBackward,class,torch.nn._functions.thnn.pooling,AdaptiveAvgPool1dBackward,/home/ota/VM/pytorch/pytorch-0.3.1/lib/python3.5/site-packages/torch/nn/_functions/thnn/pooling.py,580,599,False,python_source
