source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
sklearn._loss.link.BaseLink,abc.ABC,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,88,class BaseLink(ABC):
sklearn._loss.link.BaseLink,sklearn._loss.link.Interval,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,108,"interval_y_pred = Interval(-np.inf, np.inf, False, False)"
sklearn._loss.link.HalfLogitLink,sklearn._loss.link.BaseLink,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,192,class HalfLogitLink(BaseLink):
sklearn._loss.link.HalfLogitLink,sklearn._loss.link.Interval,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,198,"interval_y_pred = Interval(0, 1, False, False)"
sklearn._loss.link.IdentityLink,sklearn._loss.link.BaseLink,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,155,class IdentityLink(BaseLink):
sklearn._loss.link.Interval,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,27,raise ValueError(
sklearn._loss.link.LogLink,sklearn._loss.link.BaseLink,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,168,class LogLink(BaseLink):
sklearn._loss.link.LogLink,sklearn._loss.link.Interval,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,171,"interval_y_pred = Interval(0, np.inf, False, False)"
sklearn._loss.link.LogitLink,sklearn._loss.link.BaseLink,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,180,class LogitLink(BaseLink):
sklearn._loss.link.LogitLink,sklearn._loss.link.Interval,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,183,"interval_y_pred = Interval(0, 1, False, False)"
sklearn._loss.link.MultinomialLogit,sklearn._loss.link.BaseLink,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,209,class MultinomialLogit(BaseLink):
sklearn._loss.link.MultinomialLogit,sklearn._loss.link.Interval,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/link.py,256,"interval_y_pred = Interval(0, 1, False, False)"
sklearn._loss.loss.AbsoluteError,sklearn._loss.loss.BaseLoss,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-1.5.2/lib/python3.9/site-packages/sklearn/_loss/loss.py,539,class AbsoluteError(BaseLoss):
