node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
ArffContainerType,class,,ArffContainerType,.,-1,-1,True,external_placeholder
AssertionError,class,,AssertionError,.,-1,-1,True,external_placeholder
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
BayesianRidge,class,,BayesianRidge,.,-1,-1,True,external_placeholder
CmpKey,class,,CmpKey,.,-1,-1,True,external_placeholder
DEFAULT_EPSILON,constant_symbol,,DEFAULT_EPSILON,.,-1,-1,True,external_placeholder
DEFAULT_JOBLIB_BACKEND,constant_symbol,,DEFAULT_JOBLIB_BACKEND,.,-1,-1,True,external_placeholder
Exception,class,,Exception,.,-1,-1,True,external_placeholder
GridSpecFromSubplotSpec,class,,GridSpecFromSubplotSpec,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KFold,class,,KFold,.,-1,-1,True,external_placeholder
KMeans,class,,KMeans,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
LabelBinarizer,class,,LabelBinarizer,.,-1,-1,True,external_placeholder
LabelEncoder,class,,LabelEncoder,.,-1,-1,True,external_placeholder
LegacyCmpKey,class,,LegacyCmpKey,.,-1,-1,True,external_placeholder
LinearDiscriminantAnalysis,class,,LinearDiscriminantAnalysis,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
RuntimeWarning,class,,RuntimeWarning,.,-1,-1,True,external_placeholder
StratifiedKFold,class,,StratifiedKFold,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
UserWarning,class,,UserWarning,.,-1,-1,True,external_placeholder
VERSION_PATTERN,constant_symbol,,VERSION_PATTERN,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
abc.ABC,constant_symbol,abc,ABC,.,-1,-1,True,external_placeholder
collections.Counter,class,collections,Counter,.,-1,-1,True,external_placeholder
collections.UserList,class,collections,UserList,.,-1,-1,True,external_placeholder
collections.namedtuple,symbol,collections,namedtuple,.,-1,-1,True,external_placeholder
contextlib.AbstractContextManager,class,contextlib,AbstractContextManager,.,-1,-1,True,external_placeholder
inspect.Parameter,class,inspect,Parameter,.,-1,-1,True,external_placeholder
inspect.Signature,class,inspect,Signature,.,-1,-1,True,external_placeholder
joblib.Parallel,class,joblib,Parallel,.,-1,-1,True,external_placeholder
numbers.Real,class,numbers,Real,.,-1,-1,True,external_placeholder
numpy.random.RandomState,class,numpy.random,RandomState,.,-1,-1,True,external_placeholder
pprint.PrettyPrinter,class,pprint,PrettyPrinter,.,-1,-1,True,external_placeholder
re.IGNORECASE,constant_symbol,re,IGNORECASE,.,-1,-1,True,external_placeholder
re.VERBOSE,constant_symbol,re,VERBOSE,.,-1,-1,True,external_placeholder
scipy.sparse.linalg.LinearOperator,class,scipy.sparse.linalg,LinearOperator,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyAbsoluteError,class,sklearn._loss._loss,CyAbsoluteError,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyExponentialLoss,class,sklearn._loss._loss,CyExponentialLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfBinomialLoss,class,sklearn._loss._loss,CyHalfBinomialLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfGammaLoss,class,sklearn._loss._loss,CyHalfGammaLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfMultinomialLoss,class,sklearn._loss._loss,CyHalfMultinomialLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfPoissonLoss,class,sklearn._loss._loss,CyHalfPoissonLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfSquaredError,class,sklearn._loss._loss,CyHalfSquaredError,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfTweedieLoss,class,sklearn._loss._loss,CyHalfTweedieLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHalfTweedieLossIdentity,class,sklearn._loss._loss,CyHalfTweedieLossIdentity,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyHuberLoss,class,sklearn._loss._loss,CyHuberLoss,.,-1,-1,True,external_placeholder
sklearn._loss._loss.CyPinballLoss,class,sklearn._loss._loss,CyPinballLoss,.,-1,-1,True,external_placeholder
sklearn._loss.link.BaseLink,class,sklearn._loss.link,BaseLink,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,89,153,False,python_source
sklearn._loss.link.HalfLogitLink,class,sklearn._loss.link,HalfLogitLink,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,193,207,False,python_source
sklearn._loss.link.IdentityLink,class,sklearn._loss.link,IdentityLink,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,156,166,False,python_source
sklearn._loss.link.Interval,class,sklearn._loss.link,Interval,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,19,58,False,python_source
sklearn._loss.link.LogLink,class,sklearn._loss.link,LogLink,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,169,178,False,python_source
sklearn._loss.link.LogitLink,class,sklearn._loss.link,LogitLink,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,181,190,False,python_source
sklearn._loss.link.MultinomialLogit,class,sklearn._loss.link,MultinomialLogit,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/link.py,210,273,False,python_source
sklearn._loss.loss.AbsoluteError,class,sklearn._loss.loss,AbsoluteError,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,542,577,False,python_source
sklearn._loss.loss.BaseLoss,class,sklearn._loss.loss,BaseLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,70,512,False,python_source
sklearn._loss.loss.ExponentialLoss,class,sklearn._loss.loss,ExponentialLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,1097,1167,False,python_source
sklearn._loss.loss.HalfBinomialLoss,class,sklearn._loss.loss,HalfBinomialLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,889,955,False,python_source
sklearn._loss.loss.HalfGammaLoss,class,sklearn._loss.loss,HalfGammaLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,748,776,False,python_source
sklearn._loss.loss.HalfMultinomialLoss,class,sklearn._loss.loss,HalfMultinomialLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,958,1094,False,python_source
sklearn._loss.loss.HalfPoissonLoss,class,sklearn._loss.loss,HalfPoissonLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,716,745,False,python_source
sklearn._loss.loss.HalfSquaredError,class,sklearn._loss.loss,HalfSquaredError,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,519,539,False,python_source
sklearn._loss.loss.HalfTweedieLoss,class,sklearn._loss.loss,HalfTweedieLoss,/home/ota/VM/sklearn/sklearn-1.6.0/lib/python3.9/site-packages/sklearn/_loss/loss.py,779,840,False,python_source
