node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AssertionError,class,,AssertionError,.,-1,-1,True,external_placeholder
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
Bias,class,,Bias,.,-1,-1,True,external_placeholder
DummyWriter,class,,DummyWriter,.,-1,-1,True,external_placeholder
ImportError,class,,ImportError,.,-1,-1,True,external_placeholder
MyLayer,class,,MyLayer,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
Queue.Queue,class,Queue,Queue,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
ToRagged,class,,ToRagged,.,-1,-1,True,external_placeholder
ToSparse,class,,ToSparse,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
UserWarning,class,,UserWarning,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
abc.ABCMeta,class,abc,ABCMeta,.,-1,-1,True,external_placeholder
absl.testing.parameterized.TestCase,class,absl.testing.parameterized,TestCase,.,-1,-1,True,external_placeholder
collections.OrderedDict,class,collections,OrderedDict,.,-1,-1,True,external_placeholder
collections.namedtuple,symbol,collections,namedtuple,.,-1,-1,True,external_placeholder
csv.DictWriter,class,csv,DictWriter,.,-1,-1,True,external_placeholder
enum.Enum,class,enum,Enum,.,-1,-1,True,external_placeholder
google.protobuf.json_format.MessageToDict,class,google.protobuf.json_format,MessageToDict,.,-1,-1,True,external_placeholder
google.protobuf.json_format.ParseDict,class,google.protobuf.json_format,ParseDict,.,-1,-1,True,external_placeholder
h5py.File,class,h5py,File,.,-1,-1,True,external_placeholder
keras_preprocessing.image.DirectoryIterator,class,keras_preprocessing.image,DirectoryIterator,.,-1,-1,True,external_placeholder
keras_preprocessing.image.ImageDataGenerator,class,keras_preprocessing.image,ImageDataGenerator,.,-1,-1,True,external_placeholder
keras_preprocessing.image.NumpyArrayIterator,class,keras_preprocessing.image,NumpyArrayIterator,.,-1,-1,True,external_placeholder
keras_preprocessing.sequence.TimeseriesGenerator,class,keras_preprocessing.sequence,TimeseriesGenerator,.,-1,-1,True,external_placeholder
multiprocessing.Pool,class,multiprocessing,Pool,.,-1,-1,True,external_placeholder
multiprocessing.Value,class,multiprocessing,Value,.,-1,-1,True,external_placeholder
multiprocessing.pool.ThreadPool,class,multiprocessing.pool,ThreadPool,.,-1,-1,True,external_placeholder
tensorflow.core.framework.node_def_pb2.NodeDef,class,tensorflow.core.framework.node_def_pb2,NodeDef,.,-1,-1,True,external_placeholder
tensorflow.core.framework.node_def_pb2.NodeDef.FromString,class,tensorflow.core.framework.node_def_pb2.NodeDef,FromString,.,-1,-1,True,external_placeholder
tensorflow.core.protobuf.config_pb2.CallableOptions,class,tensorflow.core.protobuf.config_pb2,CallableOptions,.,-1,-1,True,external_placeholder
tensorflow.python.data.ops.dataset_ops.Options,class,tensorflow.python.data.ops.dataset_ops,Options,.,-1,-1,True,external_placeholder
tensorflow.python.distribute.values.DistributedValues,class,tensorflow.python.distribute.values,DistributedValues,.,-1,-1,True,external_placeholder
tensorflow.python.distribute.values.DistributedVariable,class,tensorflow.python.distribute.values,DistributedVariable,.,-1,-1,True,external_placeholder
tensorflow.python.distribute.values.ReplicaDeviceMap,class,tensorflow.python.distribute.values,ReplicaDeviceMap,.,-1,-1,True,external_placeholder
tensorflow.python.eager.backprop.GradientTape,class,tensorflow.python.eager.backprop,GradientTape,.,-1,-1,True,external_placeholder
tensorflow.python.eager.def_function.Function,class,tensorflow.python.eager.def_function,Function,.,-1,-1,True,external_placeholder
tensorflow.python.eager.function.ConcreteFunction,class,tensorflow.python.eager.function,ConcreteFunction,.,-1,-1,True,external_placeholder
tensorflow.python.eager.test.TestCase,class,tensorflow.python.eager.test,TestCase,.,-1,-1,True,external_placeholder
tensorflow.python.framework.auto_control_deps.AutomaticControlDependencies,class,tensorflow.python.framework.auto_control_deps,AutomaticControlDependencies,.,-1,-1,True,external_placeholder
tensorflow.python.framework.func_graph.FuncGraph,class,tensorflow.python.framework.func_graph,FuncGraph,.,-1,-1,True,external_placeholder
tensorflow.python.framework.tensor_shape.TensorShape,class,tensorflow.python.framework.tensor_shape,TensorShape,.,-1,-1,True,external_placeholder
tensorflow.python.framework.tensor_spec.TensorSpec,class,tensorflow.python.framework.tensor_spec,TensorSpec,.,-1,-1,True,external_placeholder
tensorflow.python.keras.Input,class,tensorflow.python.keras,Input,.,-1,-1,True,external_placeholder
tensorflow.python.keras.Model,class,tensorflow.python.keras,Model,.,-1,-1,True,external_placeholder
tensorflow.python.keras.Sequential,class,tensorflow.python.keras,Sequential,.,-1,-1,True,external_placeholder
tensorflow.python.keras.callbacks.Callback,class,tensorflow.python.keras.callbacks,Callback,.,-1,-1,True,external_placeholder
tensorflow.python.keras.callbacks.LearningRateScheduler,class,tensorflow.python.keras.callbacks,LearningRateScheduler,.,-1,-1,True,external_placeholder
tensorflow.python.keras.callbacks.ReduceLROnPlateau,class,tensorflow.python.keras.callbacks,ReduceLROnPlateau,.,-1,-1,True,external_placeholder
