source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
keras.applications.convnext.LayerScale,keras.engine.base_layer.Layer,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/applications/convnext.py,199,class LayerScale(layers.Layer):
keras.applications.convnext.LayerScale,tensorflow.compat.v2.Variable,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/applications/convnext.py,220,self.gamma = tf.Variable(
keras.applications.convnext.StochasticDepth,keras.engine.base_layer.Layer,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/applications/convnext.py,162,class StochasticDepth(layers.Layer):
keras.backend.ContextValueCache,weakref.WeakKeyDictionary,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,7296,class ContextValueCache(weakref.WeakKeyDictionary):
keras.backend.GraphExecutionFunction,TypeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,4405,raise TypeError(
keras.backend.GraphExecutionFunction,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,4452,raise ValueError(
keras.backend.GraphExecutionFunction,tensorflow.core.protobuf.config_pb2.CallableOptions,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,4478,callable_opts = config_pb2.CallableOptions()
keras.backend.RandomGenerator,tensorflow.compat.v2.__internal__.tracking.AutoTrackable,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,1887,class RandomGenerator(tf.__internal__.tracking.AutoTrackable):
keras.backend.RandomGenerator,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,1943,raise ValueError(
keras.backend.SessionLocal,threading.local,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,68,class SessionLocal(threading.local):
keras.backend._DummyEagerGraph,threading.local,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/backend.py,94,class _DummyEagerGraph(threading.local):
keras.callbacks.BackupAndRestore,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1727,class BackupAndRestore(Callback):
keras.callbacks.BackupAndRestore,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1843,raise ValueError(
keras.callbacks.BackupAndRestore,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1848,raise ValueError(
keras.callbacks.BackupAndRestore,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1856,raise ValueError(
keras.callbacks.BackupAndRestore,NotImplementedError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1871,raise NotImplementedError(
keras.callbacks.BackupAndRestore,keras.distribute.worker_training_state.WorkerTrainingState,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1877,self.model._training_state = worker_training_state.WorkerTrainingState(
keras.callbacks.BackupAndRestoreExperimental,keras.callbacks.BackupAndRestore,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1925,class BackupAndRestoreExperimental(BackupAndRestore):
keras.callbacks.BaseLogger,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,938,class BaseLogger(Callback):
keras.callbacks.CSVLogger,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3046,class CSVLogger(Callback):
keras.callbacks.CSVLogger,tensorflow.compat.v2.io.gfile.GFile,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3078,"with tf.io.gfile.GFile(self.filename, ""r"") as f:"
keras.callbacks.CSVLogger,tensorflow.compat.v2.io.gfile.GFile,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3083,"self.csv_file = tf.io.gfile.GFile(self.filename, mode)"
keras.callbacks.CSVLogger,csv.DictWriter,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3116,self.writer = csv.DictWriter(
keras.callbacks.CSVLogger,collections.OrderedDict,constructor_call_external,constructor_call,external_dependency,external_constructor_call,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3122,"row_dict = collections.OrderedDict({""epoch"": epoch})"
keras.callbacks.CallbackList,keras.callbacks.History,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,283,self._history = History()
keras.callbacks.CallbackList,keras.callbacks.ProgbarLogger,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,287,"self._progbar = ProgbarLogger(count_mode=""steps"")"
keras.callbacks.CallbackList,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,325,raise ValueError(
keras.callbacks.CallbackList,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,608,raise ValueError(
keras.callbacks.EarlyStopping,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1943,class EarlyStopping(Callback):
keras.callbacks.History,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,1186,class History(Callback):
keras.callbacks.LambdaCallback,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,3133,class LambdaCallback(Callback):
keras.callbacks.LearningRateScheduler,keras.callbacks.Callback,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/tensorflow/tensorflow-2.11.0/lib/python3.9/site-packages/keras/callbacks.py,2189,class LearningRateScheduler(Callback):
