node_id,kind,module,qualname,file,line_start,line_end,is_external,source_kind
AssertionError,class,,AssertionError,.,-1,-1,True,external_placeholder
AttributeError,class,,AttributeError,.,-1,-1,True,external_placeholder
BytesIO,class,,BytesIO,.,-1,-1,True,external_placeholder
DEFAULT_EPSILON,constant_symbol,,DEFAULT_EPSILON,.,-1,-1,True,external_placeholder
DeprecationWarning,class,,DeprecationWarning,.,-1,-1,True,external_placeholder
Exception,class,,Exception,.,-1,-1,True,external_placeholder
ImportError,class,,ImportError,.,-1,-1,True,external_placeholder
IndexError,class,,IndexError,.,-1,-1,True,external_placeholder
KeyError,class,,KeyError,.,-1,-1,True,external_placeholder
M_matvec,class,,M_matvec,.,-1,-1,True,external_placeholder
Minv_matvec,class,,Minv_matvec,.,-1,-1,True,external_placeholder
NotImplementedError,class,,NotImplementedError,.,-1,-1,True,external_placeholder
Pickler,class,,Pickler,.,-1,-1,True,external_placeholder
RuntimeError,class,,RuntimeError,.,-1,-1,True,external_placeholder
RuntimeWarning,class,,RuntimeWarning,.,-1,-1,True,external_placeholder
TypeError,class,,TypeError,.,-1,-1,True,external_placeholder
UserWarning,class,,UserWarning,.,-1,-1,True,external_placeholder
ValueError,class,,ValueError,.,-1,-1,True,external_placeholder
_abcoll.ItemsView,class,_abcoll,ItemsView,.,-1,-1,True,external_placeholder
_abcoll.KeysView,class,_abcoll,KeysView,.,-1,-1,True,external_placeholder
_abcoll.ValuesView,class,_abcoll,ValuesView,.,-1,-1,True,external_placeholder
collections.namedtuple,symbol,collections,namedtuple,.,-1,-1,True,external_placeholder
dummy_threading.RLock,class,dummy_threading,RLock,.,-1,-1,True,external_placeholder
io.BufferedIOBase,class,io,BufferedIOBase,.,-1,-1,True,external_placeholder
io.BytesIO,class,io,BytesIO,.,-1,-1,True,external_placeholder
io.UnsupportedOperation,class,io,UnsupportedOperation,.,-1,-1,True,external_placeholder
multiprocessing.pool.Pool,class,multiprocessing.pool,Pool,.,-1,-1,True,external_placeholder
multiprocessing.pool.ThreadPool,class,multiprocessing.pool,ThreadPool,.,-1,-1,True,external_placeholder
numpy.random.RandomState,class,numpy.random,RandomState,.,-1,-1,True,external_placeholder
pickle.Pickler,class,pickle,Pickler,.,-1,-1,True,external_placeholder
pydoc.TextDoc,class,pydoc,TextDoc,.,-1,-1,True,external_placeholder
scipy.sparse.linalg.interface.LinearOperator,class,scipy.sparse.linalg.interface,LinearOperator,.,-1,-1,True,external_placeholder
sklearn.base.BaseEstimator,class,sklearn.base,BaseEstimator,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,183,316,False,python_source
sklearn.base.BiclusterMixin,class,sklearn.base,BiclusterMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,414,463,False,python_source
sklearn.base.ChangedBehaviorWarning,class,sklearn.base,ChangedBehaviorWarning,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,20,21,False,python_source
sklearn.base.ClassifierMixin,class,sklearn.base,ClassifierMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,320,349,False,python_source
sklearn.base.ClusterMixin,class,sklearn.base,ClusterMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,391,411,False,python_source
sklearn.base.DensityMixin,class,sklearn.base,DensityMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,500,515,False,python_source
sklearn.base.MetaEstimatorMixin,class,sklearn.base,MetaEstimatorMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,519,520,False,python_source
sklearn.base.RegressorMixin,class,sklearn.base,RegressorMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,353,387,False,python_source
sklearn.base.TransformerMixin,class,sklearn.base,TransformerMixin,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/base.py,467,497,False,python_source
sklearn.calibration.CalibratedClassifierCV,class,sklearn.calibration,CalibratedClassifierCV,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/calibration.py,30,237,False,python_source
sklearn.calibration._CalibratedClassifier,class,sklearn.calibration,_CalibratedClassifier,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/calibration.py,240,387,False,python_source
sklearn.calibration._SigmoidCalibration,class,sklearn.calibration,_SigmoidCalibration,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/calibration.py,456,507,False,python_source
sklearn.cluster._feature_agglomeration.AgglomerationTransform,class,sklearn.cluster._feature_agglomeration,AgglomerationTransform,/home/ota/VM/sklearn/sklearn-0.18.1/lib/python3.5/site-packages/sklearn/cluster/_feature_agglomeration.py,17,72,False,python_source
