source,target,edge_type,base_edge_type,dependency_layer,semantic_role,file,line,evidence
sklearn.base.BaseEstimator,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/base.py,164,"raise RuntimeError(""scikit-learn estimators should always """
sklearn.base.BaseEstimator,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/base.py,233,raise ValueError('Invalid parameter %s for estimator %s. '
sklearn.calibration.CalibratedClassifierCV,sklearn.base.BaseEstimator,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,32,"class CalibratedClassifierCV(BaseEstimator, ClassifierMixin,"
sklearn.calibration.CalibratedClassifierCV,sklearn.base.ClassifierMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,32,"class CalibratedClassifierCV(BaseEstimator, ClassifierMixin,"
sklearn.calibration.CalibratedClassifierCV,sklearn.base.MetaEstimatorMixin,inheritance,inheritance,inheritance,inheritance,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,33,MetaEstimatorMixin):
sklearn.calibration.CalibratedClassifierCV,sklearn.preprocessing._label.LabelBinarizer,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,137,le = LabelBinarizer().fit(y)
sklearn.calibration.CalibratedClassifierCV,ValueError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,147,"raise ValueError(""Requesting %d-fold cross-validation but provided"""
sklearn.calibration.CalibratedClassifierCV,sklearn.svm._classes.LinearSVC,constructor_call_temporary,constructor_call,temporary_object,temporary_or_configuration_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,155,base_estimator = LinearSVC(random_state=0)
sklearn.calibration._CalibratedClassifier,RuntimeError,constructor_call_exception,constructor_call,control_flow_or_error,exception_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,310,raise RuntimeError('classifier has no decision_function or '
sklearn.calibration._CalibratedClassifier,sklearn.preprocessing._label.LabelEncoder,constructor_call_composition,constructor_call,composition,owned_component_instantiation,/home/ota/VM/sklearn/sklearn-0.22.0/lib/python3.6/site-packages/sklearn/calibration.py,338,self.label_encoder_ = LabelEncoder()
